	exp_with_feature_sel_1	exp_with_feature_sel_2	exp_with_feature_sel_3	exp_with_feature_sel_4	exp_with_feature_sel_5	exp_with_feature_sel_6	exp_with_feature_sel_7	exp_with_feature_sel_8	exp_with_feature_sel_9	exp_with_feature_sel_10	exp_with_feature_sel_11	exp_with_feature_sel_12	exp_with_feature_sel_13	exp_with_feature_sel_14	exp_with_feature_sel_15	exp_with_feature_sel_16	exp_with_feature_sel_17	exp_with_feature_sel_18	exp_with_feature_sel_19	exp_with_feature_sel_20
kiz	0.9025418575804728	0.90771112337463	0.9241439849648685	0.8852085046305957	0.899080425906326	0.9421691551778586	0.9159461806235746	0.889938283826688	0.9419492208996969	0.9037820210165946	0.8704154623721826	0.896109179784286	0.9166543983683985	0.8684781884779283	0.8361485198990855	0.8925102984915114	0.8550985694913453	0.9261726379257952	0.9610060210226079	0.9175083786012228
kja	0.9025418575804728	0.90771112337463	0.9241439849648685	0.8852085046305957	0.899080425906326	0.9421691551778586	0.9159461806235746	0.9183042347590173	0.9419492208996969	0.9037820210165946	0.8704154623721826	0.9198269681107009	0.9166543983683985	0.8684781884779283	0.8834902893005597	0.911054157529881	0.8550985694913453	0.9261726379257952	0.9610060210226079	0.9175083786012228
kjb	0.6947616742241429	0.90771112337463	0.8155548850093047	0.8852085046305957	0.6807659540318003	0.8624975396338137	0.9159461806235746	0.8152262133829125	0.8549539800454876	0.9037820210165946	0.8704154623721826	0.7627593148271888	0.6875796146455551	0.8684781884779283	0.8361485198990855	0.7799487095874198	0.8550985694913453	0.8140774694180823	0.8406609106352729	0.806410424189523
kjc	0.6947616742241429	0.90771112337463	0.8155548850093047	0.8852085046305957	0.6807659540318003	0.8624975396338137	0.9159461806235746	0.889938283826688	0.9419492208996969	0.9037820210165946	0.8704154623721826	0.7627593148271888	0.6875796146455551	0.8684781884779283	0.8361485198990855	0.7799487095874198	0.8550985694913453	0.8140774694180823	0.8990242823483314	0.806410424189523
kjd	0.6947616742241429	0.90771112337463	0.8155548850093047	0.8852085046305957	0.6807659540318003	0.8624975396338137	0.9159461806235746	0.8152262133829125	0.8549539800454876	0.9037820210165946	0.8704154623721826	0.7627593148271888	0.6875796146455551	0.8684781884779283	0.8361485198990855	0.7799487095874198	0.8550985694913453	0.8140774694180823	0.8406609106352729	0.806410424189523
kje	0.6947616742241429	0.90771112337463	0.8155548850093047	0.8852085046305957	0.6807659540318003	0.8624975396338137	0.9159461806235746	0.8152262133829125	0.8549539800454876	0.9037820210165946	0.8704154623721826	0.7627593148271888	0.6875796146455551	0.8684781884779283	0.8361485198990855	0.7799487095874198	0.8550985694913453	0.8140774694180823	0.8406609106352729	0.806410424189523
kjf	0.9025418575804728	0.90771112337463	0.9241439849648685	0.8852085046305957	0.899080425906326	0.9421691551778586	0.9159461806235746	0.9095269532693719	0.8549539800454876	0.9037820210165946	0.8704154623721826	0.9462372950457149	0.9166543983683985	0.8684781884779283	0.9321374171424244	0.9334834325103579	0.8550985694913453	0.9261726379257952	0.9359139760579618	0.9175083786012228
kjg	0.6947616742241429	0.90771112337463	0.8155548850093047	0.8852085046305957	0.6807659540318003	0.8624975396338137	0.9159461806235746	0.8152262133829125	0.8549539800454876	0.9037820210165946	0.8704154623721826	0.7627593148271888	0.6875796146455551	0.8684781884779283	0.8361485198990855	0.7799487095874198	0.8550985694913453	0.8140774694180823	0.8406609106352729	0.806410424189523
kjh	0.6947616742241429	0.90771112337463	0.8155548850093047	0.8852085046305957	0.6807659540318003	0.8624975396338137	0.9159461806235746	0.889938283826688	0.9419492208996969	0.9037820210165946	0.8704154623721826	0.7627593148271888	0.6875796146455551	0.8684781884779283	0.8361485198990855	0.7799487095874198	0.8550985694913453	0.8140774694180823	0.8990242823483314	0.806410424189523
kji	0.9025418575804728	0.90771112337463	0.9241439849648685	0.8852085046305957	0.899080425906326	0.9421691551778586	0.9159461806235746	0.859814372174683	0.8549539800454876	0.9037820210165946	0.8704154623721826	0.9198269681107009	0.9166543983683985	0.8684781884779283	0.8834902893005597	0.911054157529881	0.8550985694913453	0.9261726379257952	0.9359139760579618	0.9175083786012228
kjj	0.6947616742241429	0.90771112337463	0.8155548850093047	0.8852085046305957	0.6807659540318003	0.8624975396338137	0.9159461806235746	0.9183042347590173	0.9419492208996969	0.9037820210165946	0.8704154623721826	0.8104818303853937	0.6875796146455551	0.8684781884779283	0.8834902893005597	0.8138614971017568	0.8550985694913453	0.8140774694180823	0.8990242823483314	0.806410424189523
kjk	0.9025418575804728	0.90771112337463	0.9241439849648685	0.8852085046305957	0.899080425906326	0.9421691551778586	0.9159461806235746	0.889938283826688	0.9419492208996969	0.9037820210165946	0.8704154623721826	0.896109179784286	0.9166543983683985	0.8684781884779283	0.8361485198990855	0.8925102984915114	0.8550985694913453	0.9261726379257952	0.9610060210226079	0.9175083786012228
kjl	0.6947616742241429	0.90771112337463	0.8155548850093047	0.8852085046305957	0.6807659540318003	0.8624975396338137	0.9159461806235746	0.8152262133829125	0.8549539800454876	0.9037820210165946	0.8704154623721826	0.7627593148271888	0.6875796146455551	0.8684781884779283	0.8361485198990855	0.7799487095874198	0.8550985694913453	0.8140774694180823	0.8406609106352729	0.806410424189523
kjm	0.9025418575804728	0.90771112337463	0.9241439849648685	0.8852085046305957	0.899080425906326	0.9421691551778586	0.9159461806235746	0.889938283826688	0.9419492208996969	0.9037820210165946	0.8704154623721826	0.896109179784286	0.9166543983683985	0.8684781884779283	0.8361485198990855	0.8925102984915114	0.8550985694913453	0.9261726379257952	0.9610060210226079	0.9175083786012228
kjn	0.6947616742241429	0.90771112337463	0.8155548850093047	0.8852085046305957	0.6807659540318003	0.8624975396338137	0.9159461806235746	0.9485171031758047	0.9419492208996969	0.9037820210165946	0.8704154623721826	0.8677327194584981	0.6875796146455551	0.8684781884779283	0.9321374171424244	0.8569513855503799	0.8550985694913453	0.8140774694180823	0.8990242823483314	0.806410424189523
kjo	0.9025418575804728	0.90771112337463	0.9241439849648685	0.8852085046305957	0.899080425906326	0.9421691551778586	0.9159461806235746	0.859814372174683	0.8549539800454876	0.9037820210165946	0.8704154623721826	0.9198269681107009	0.9166543983683985	0.8684781884779283	0.8834902893005597	0.911054157529881	0.8550985694913453	0.9261726379257952	0.9359139760579618	0.9175083786012228
kjp	0.6947616742241429	0.90771112337463	0.8155548850093047	0.8852085046305957	0.6807659540318003	0.8624975396338137	0.9159461806235746	0.7604079915780992	0.8549539800454876	0.9037820210165946	0.8704154623721826	0.7073587899610557	0.6875796146455551	0.8684781884779283	0.7744805277670738	0.7418173630187286	0.8550985694913453	0.8140774694180823	0.8406609106352729	0.806410424189523
kjq	0.6947616742241429	0.90771112337463	0.8155548850093047	0.8852085046305957	0.6807659540318003	0.8624975396338137	0.9159461806235746	0.9183042347590173	0.9419492208996969	0.9037820210165946	0.8704154623721826	0.8104818303853937	0.6875796146455551	0.8684781884779283	0.8834902893005597	0.8138614971017568	0.8550985694913453	0.8140774694180823	0.8990242823483314	0.806410424189523
kjr	0.9025418575804728	0.90771112337463	0.9241439849648685	0.8852085046305957	0.899080425906326	0.9421691551778586	0.9159461806235746	0.9183042347590173	0.9419492208996969	0.9037820210165946	0.8704154623721826	0.9198269681107009	0.9166543983683985	0.8684781884779283	0.8834902893005597	0.911054157529881	0.8550985694913453	0.9261726379257952	0.9610060210226079	0.9175083786012228
kjs	0.9025418575804728	0.90771112337463	0.9241439849648685	0.8852085046305957	0.899080425906326	0.9421691551778586	0.9159461806235746	0.889938283826688	0.9419492208996969	0.9037820210165946	0.8704154623721826	0.896109179784286	0.9166543983683985	0.8684781884779283	0.8361485198990855	0.8925102984915114	0.8550985694913453	0.9261726379257952	0.9610060210226079	0.9175083786012228
kjt	0.9025418575804728	0.90771112337463	0.9241439849648685	0.8852085046305957	0.899080425906326	0.9421691551778586	0.9159461806235746	0.859814372174683	0.8549539800454876	0.9037820210165946	0.8704154623721826	0.9198269681107009	0.9166543983683985	0.8684781884779283	0.8834902893005597	0.911054157529881	0.8550985694913453	0.9261726379257952	0.9359139760579618	0.9175083786012228
kju	0.6947616742241429	0.90771112337463	0.8155548850093047	0.8852085046305957	0.6807659540318003	0.8624975396338137	0.9159461806235746	0.9485171031758047	0.9419492208996969	0.9037820210165946	0.8704154623721826	0.8677327194584981	0.6875796146455551	0.8684781884779283	0.9321374171424244	0.8569513855503799	0.8550985694913453	0.8140774694180823	0.8990242823483314	0.806410424189523
kjv	0.9025418575804728	0.90771112337463	0.9241439849648685	0.8852085046305957	0.899080425906326	0.9421691551778586	0.9159461806235746	0.9095269532693719	0.8549539800454876	0.9037820210165946	0.8704154623721826	0.9462372950457149	0.9166543983683985	0.8684781884779283	0.9321374171424244	0.9334834325103579	0.8550985694913453	0.9261726379257952	0.9359139760579618	0.9175083786012228
kjx	0.9025418575804728	0.90771112337463	0.9241439849648685	0.8852085046305957	0.899080425906326	0.9421691551778586	0.9159461806235746	0.859814372174683	0.8549539800454876	0.9037820210165946	0.8704154623721826	0.9198269681107009	0.9166543983683985	0.8684781884779283	0.8834902893005597	0.911054157529881	0.8550985694913453	0.9261726379257952	0.9359139760579618	0.9175083786012228
kjy	0.9025418575804728	0.90771112337463	0.9241439849648685	0.8852085046305957	0.899080425906326	0.9421691551778586	0.9159461806235746	0.8152262133829125	0.8549539800454876	0.9037820210165946	0.8704154623721826	0.896109179784286	0.9166543983683985	0.8684781884779283	0.8361485198990855	0.8925102984915114	0.8550985694913453	0.9261726379257952	0.9359139760579618	0.9175083786012228
kjz	0.9025418575804728	0.90771112337463	0.9241439849648685	0.8852085046305957	0.899080425906326	0.9421691551778586	0.9159461806235746	0.889938283826688	0.9419492208996969	0.9037820210165946	0.8704154623721826	0.896109179784286	0.9166543983683985	0.8684781884779283	0.8361485198990855	0.8925102984915114	0.8550985694913453	0.9261726379257952	0.9610060210226079	0.9175083786012228
kka	0.9025418575804728	0.90771112337463	0.9241439849648685	0.8852085046305957	0.899080425906326	0.9421691551778586	0.9159461806235746	0.8152262133829125	0.8549539800454876	0.9037820210165946	0.8704154623721826	0.896109179784286	0.9166543983683985	0.8684781884779283	0.8361485198990855	0.8925102984915114	0.8550985694913453	0.9261726379257952	0.9359139760579618	0.9175083786012228
kkb	0.9025418575804728	0.90771112337463	0.9241439849648685	0.8852085046305957	0.899080425906326	0.9421691551778586	0.9159461806235746	0.9485171031758047	0.9419492208996969	0.9037820210165946	0.8704154623721826	0.9462372950457149	0.9166543983683985	0.8684781884779283	0.9321374171424244	0.9334834325103579	0.8550985694913453	0.9261726379257952	0.9610060210226079	0.9175083786012228
kkc	0.9025418575804728	0.90771112337463	0.9241439849648685	0.8852085046305957	0.899080425906326	0.9421691551778586	0.9159461806235746	0.859814372174683	0.8549539800454876	0.9037820210165946	0.8704154623721826	0.9198269681107009	0.9166543983683985	0.8684781884779283	0.8834902893005597	0.911054157529881	0.8550985694913453	0.9261726379257952	0.9359139760579618	0.9175083786012228
kkd	0.9025418575804728	0.90771112337463	0.9241439849648685	0.8852085046305957	0.899080425906326	0.9421691551778586	0.9159461806235746	0.859814372174683	0.8549539800454876	0.9037820210165946	0.8704154623721826	0.9198269681107009	0.9166543983683985	0.8684781884779283	0.8834902893005597	0.911054157529881	0.8550985694913453	0.9261726379257952	0.9359139760579618	0.9175083786012228
kke	0.9025418575804728	0.90771112337463	0.9241439849648685	0.8852085046305957	0.899080425906326	0.9421691551778586	0.9159461806235746	0.889938283826688	0.9419492208996969	0.9037820210165946	0.8704154623721826	0.896109179784286	0.9166543983683985	0.8684781884779283	0.8361485198990855	0.8925102984915114	0.8550985694913453	0.9261726379257952	0.9610060210226079	0.9175083786012228
kkf	0.9025418575804728	0.90771112337463	0.9241439849648685	0.8852085046305957	0.899080425906326	0.9421691551778586	0.9159461806235746	0.859814372174683	0.8549539800454876	0.9037820210165946	0.8704154623721826	0.9198269681107009	0.9166543983683985	0.8684781884779283	0.8834902893005597	0.911054157529881	0.8550985694913453	0.9261726379257952	0.9359139760579618	0.9175083786012228
kkg	0.9025418575804728	0.90771112337463	0.9241439849648685	0.8852085046305957	0.899080425906326	0.9421691551778586	0.9159461806235746	0.9095269532693719	0.8549539800454876	0.9037820210165946	0.8704154623721826	0.9462372950457149	0.9166543983683985	0.8684781884779283	0.9321374171424244	0.9334834325103579	0.8550985694913453	0.9261726379257952	0.9359139760579618	0.9175083786012228
kkh	0.6947616742241429	0.90771112337463	0.8155548850093047	0.8852085046305957	0.6807659540318003	0.8624975396338137	0.9159461806235746	0.8152262133829125	0.8549539800454876	0.9037820210165946	0.8704154623721826	0.7627593148271888	0.6875796146455551	0.8684781884779283	0.8361485198990855	0.7799487095874198	0.8550985694913453	0.8140774694180823	0.8406609106352729	0.806410424189523
kki	0.6947616742241429	0.90771112337463	0.8155548850093047	0.8852085046305957	0.6807659540318003	0.8624975396338137	0.9159461806235746	0.8152262133829125	0.8549539800454876	0.9037820210165946	0.8704154623721826	0.7627593148271888	0.6875796146455551	0.8684781884779283	0.8361485198990855	0.7799487095874198	0.8550985694913453	0.8140774694180823	0.8406609106352729	0.806410424189523
kkj	0.9025418575804728	0.90771112337463	0.9241439849648685	0.8852085046305957	0.899080425906326	0.9421691551778586	0.9159461806235746	0.8152262133829125	0.8549539800454876	0.9037820210165946	0.8704154623721826	0.896109179784286	0.9166543983683985	0.8684781884779283	0.8361485198990855	0.8925102984915114	0.8550985694913453	0.9261726379257952	0.9359139760579618	0.9175083786012228
kkk	0.6947616742241429	0.90771112337463	0.8155548850093047	0.8852085046305957	0.6807659540318003	0.8624975396338137	0.9159461806235746	0.9183042347590173	0.9419492208996969	0.9037820210165946	0.8704154623721826	0.8104818303853937	0.6875796146455551	0.8684781884779283	0.8834902893005597	0.8138614971017568	0.8550985694913453	0.8140774694180823	0.8990242823483314	0.806410424189523
kkl	0.6947616742241429	0.90771112337463	0.8155548850093047	0.8852085046305957	0.6807659540318003	0.8624975396338137	0.9159461806235746	0.859814372174683	0.8549539800454876	0.9037820210165946	0.8704154623721826	0.8104818303853937	0.6875796146455551	0.8684781884779283	0.8834902893005597	0.8138614971017568	0.8550985694913453	0.8140774694180823	0.8406609106352729	0.806410424189523
kkm	0.9025418575804728	0.90771112337463	0.9241439849648685	0.8852085046305957	0.899080425906326	0.9421691551778586	0.9159461806235746	0.9485171031758047	0.9419492208996969	0.9037820210165946	0.8704154623721826	0.9462372950457149	0.9166543983683985	0.8684781884779283	0.9321374171424244	0.9334834325103579	0.8550985694913453	0.9261726379257952	0.9610060210226079	0.9175083786012228
kkn	0.9025418575804728	0.7336114939788905	0.9241439849648685	0.8852085046305957	0.899080425906326	0.9421691551778586	0.7991009840873514	0.9183042347590173	0.9419492208996969	0.7115540058276648	0.8704154623721826	0.9198269681107009	0.9166543983683985	0.704204967912748	0.749303651737784	0.911054157529881	0.8550985694913453	0.8025455340102023	0.9027398770743168	0.7932670217785971
kko	0.9025418575804728	0.90771112337463	0.9241439849648685	0.8852085046305957	0.899080425906326	0.9421691551778586	0.9159461806235746	0.889938283826688	0.9419492208996969	0.9037820210165946	0.8704154623721826	0.896109179784286	0.9166543983683985	0.8684781884779283	0.8361485198990855	0.8925102984915114	0.8550985694913453	0.9261726379257952	0.9610060210226079	0.9175083786012228
kkp	0.9025418575804728	0.90771112337463	0.9241439849648685	0.8852085046305957	0.899080425906326	0.9421691551778586	0.9159461806235746	0.9485171031758047	0.9419492208996969	0.9037820210165946	0.8704154623721826	0.9462372950457149	0.9166543983683985	0.8684781884779283	0.9321374171424244	0.9334834325103579	0.8550985694913453	0.9261726379257952	0.9610060210226079	0.9175083786012228
kkq	0.9025418575804728	0.90771112337463	0.9241439849648685	0.8852085046305957	0.899080425906326	0.9421691551778586	0.9159461806235746	0.8152262133829125	0.8549539800454876	0.9037820210165946	0.8704154623721826	0.896109179784286	0.9166543983683985	0.8684781884779283	0.8361485198990855	0.8925102984915114	0.8550985694913453	0.9261726379257952	0.9359139760579618	0.9175083786012228
kkr	0.9025418575804728	0.90771112337463	0.9241439849648685	0.8852085046305957	0.899080425906326	0.9421691551778586	0.9159461806235746	0.9183042347590173	0.9419492208996969	0.9037820210165946	0.8704154623721826	0.9198269681107009	0.9166543983683985	0.8684781884779283	0.8834902893005597	0.911054157529881	0.8550985694913453	0.9261726379257952	0.9610060210226079	0.9175083786012228
